,user,text,favorite_count,retweet_count,created_at
0,BillyM2k,seems like everyone is predicting 2023 to be a total disaster,1814,135,2022-12-08 05:54:41+00:00
1,BillyM2k,cat https://t.co/almaDykESD,2224,115,2022-12-08 01:06:46+00:00
2,BillyM2k,"rakuen is one of my favorite games of all time, and inspired the “do only good everyday” movement last year 

a new game in the rakuen universe is coming out next year! much excite https://t.co/1pZq4Lz7y7",148,13,2022-12-07 21:50:00+00:00
3,BillyM2k,@waitbutwhy @ncasenmare https://t.co/uf1EeenBna,45,1,2022-12-07 21:09:21+00:00
4,BillyM2k,@greg16676935420 why don’t you just have a wonderful and happy life,161,1,2022-12-07 21:05:50+00:00
5,BillyM2k,"@MartieGay that’s what it’s intended to mean, which is generally an arrogant assumption",11,0,2022-12-07 21:04:16+00:00
6,BillyM2k,starting a sentence with “why don’t you just…” translates to “i don’t know what the fuck i am talking about”,854,65,2022-12-07 21:01:09+00:00
7,BillyM2k,"i like how all the covid information online is like “most people will be ok after a few weeks, but you might have it forever or die lol”",1027,51,2022-12-07 19:51:21+00:00
8,BillyM2k,https://t.co/bhJVCnKhMU,1666,70,2022-12-07 16:39:48+00:00
9,BillyM2k,@johnnygreavu @EndlessFallacy @elonmusk @TedrickG @sfdbi @KQEDnews @LondonBreed shitty ones,17,0,2022-12-07 06:22:48+00:00
10,BillyM2k,@johnnygreavu @EndlessFallacy @elonmusk @TedrickG @sfdbi @KQEDnews @LondonBreed work,16,0,2022-12-07 06:06:32+00:00
11,BillyM2k,"@calic415 @Cocochaneladair generally if the housing market crashes, since way too much of the economy is based on it, everything will go to shit and regular people won’t have jobs or money",7,0,2022-12-07 01:33:49+00:00
12,BillyM2k,"@ParikPatelCFA if you ever feel incompetent at your job, just remember that the people who run San Francisco get paid to be completely and utterly incompetent at everything except giving out parking tickets",123,9,2022-12-07 01:23:13+00:00
13,BillyM2k,@espn nooo,48,0,2022-12-07 01:20:41+00:00
14,BillyM2k,@elonmusk that kind of blows my mind,165,4,2022-12-07 01:01:52+00:00
15,BillyM2k,@Austen https://t.co/fQDKE7ppkP,170,9,2022-12-07 00:53:14+00:00
16,BillyM2k,"@TeffyTheOtaku it’s a joke based on the OP roleplaying someone viewing everything as a political thing, hence the all caps and bad spelling",18,0,2022-12-07 00:35:19+00:00
17,BillyM2k,@TeffyTheOtaku R U SAYING I AM RIGHT WING !?!?!?,58,0,2022-12-07 00:33:10+00:00
18,BillyM2k,"@BryceGruber haha yeah “instead of overbidding with 30 other people for a 2 million dollar piece of shit, just pay the 2 million dollars with 7.5% interest!”",31,0,2022-12-07 00:28:44+00:00
19,BillyM2k,"the world’s most boring, tedious, brain dead people view everything through a political lens",2092,205,2022-12-07 00:26:24+00:00
20,BillyM2k,@Marka4jr @EndlessFallacy @elonmusk @TedrickG @sfdbi @KQEDnews @LondonBreed not in SF,35,0,2022-12-07 00:25:05+00:00
21,BillyM2k,"@EndlessFallacy @elonmusk @TedrickG @sfdbi @KQEDnews @LondonBreed bro i am here first hand i’m not spouting some fucking talking points 

this place fucking sucks",159,4,2022-12-07 00:22:46+00:00
22,BillyM2k,@_mintydoge it’s beautiful,35,1,2022-12-07 00:09:45+00:00
23,BillyM2k,i was a cartoon before it was cool,298,11,2022-12-07 00:08:04+00:00
24,BillyM2k,https://t.co/xh1giQwozV,926,52,2022-12-07 00:07:44+00:00
25,BillyM2k,@TheCryptoCPA unless you bought when they were fun and green,179,3,2022-12-07 00:04:46+00:00
26,BillyM2k,"@BigImpactHumans @elonmusk @TedrickG @sfdbi @KQEDnews @LondonBreed i don’t think any businesses should be in SF, the whole place completely sucks and obviously mismanages it’s money considering how much it makes vs how shitty everything is",1133,53,2022-12-06 23:44:32+00:00
27,BillyM2k,"@elonmusk @TedrickG @sfdbi @KQEDnews @LondonBreed San Francisco has the absolute worst price to quality ratio of anything in existence 

what a dump",2892,101,2022-12-06 23:38:32+00:00
28,BillyM2k,@APompliano SBF cuz he can commit a bunch of fraud and get away with it,791,9,2022-12-06 23:36:36+00:00
29,BillyM2k,@NateAlexNFT 3k a year until you die,28,0,2022-12-06 23:12:00+00:00
30,BillyM2k,"@dogeofficialceo don’t worry SBF is good for his money, just like Do Kwon",28,2,2022-12-06 22:42:55+00:00
31,BillyM2k,@frago11 @dogeofficialceo millions of dollars for a dump and then you have to live in this shithole forever,29,0,2022-12-06 22:41:47+00:00
32,BillyM2k,"@dogeofficialceo good idea, maybe it’ll get sponsored by a reputable company like FTX",62,3,2022-12-06 22:39:46+00:00
33,BillyM2k,@DogecoinFool can’t they contribute to their country’s own unsustainable bubble instead of contribute to ours,42,0,2022-12-06 22:37:46+00:00
34,BillyM2k,@dogeofficialceo you can buy a house in those super sad dying cities with no jobs or infrastructure,69,1,2022-12-06 22:36:35+00:00
35,BillyM2k,@S0meW0rri3s stupid market being based on people’s ability to buy things,7,0,2022-12-06 22:33:36+00:00
36,BillyM2k,what’s the point of a recession if houses still cost millions of dollars,2933,196,2022-12-06 22:27:07+00:00
37,BillyM2k,@ADADocumenting @LOLzAlienz @IOHK_Charles sure we are cool as far as i am aware,3,0,2022-12-06 22:26:16+00:00
38,BillyM2k,@SexieVonKat you cray,5,0,2022-12-06 22:22:59+00:00
39,BillyM2k,@ADADocumenting @LOLzAlienz @IOHK_Charles how do i become friends with a cryptocurrency,5,0,2022-12-06 22:19:22+00:00
40,BillyM2k,@CatherinScience still zelda,11,0,2022-12-06 22:18:15+00:00
41,BillyM2k,@laziestbullfrog i dunno man people are really predictable and boring too 🤣,25,0,2022-12-06 22:15:00+00:00
42,BillyM2k,@LOLzAlienz alright well if i saw it i would have probably blocked you 🤣,4,0,2022-12-06 22:14:37+00:00
43,BillyM2k,@LOLzAlienz i dunno what you are apologizing for so you’re forgiven,17,0,2022-12-06 22:10:13+00:00
44,BillyM2k,@KingsVerdict yeah why can’t they be more entertaining,16,0,2022-12-06 22:09:33+00:00
45,BillyM2k,"man, stocks and crypto are boring when they go down",1775,124,2022-12-06 22:08:46+00:00
46,BillyM2k,@chrisjkeith 🤣,3,0,2022-12-06 22:07:44+00:00
47,BillyM2k,"@KevinOConnorNBA @ChrisVernonShow it’s like Anthony Davis woke up one day and was like “oh wait that’s right, i’m really good at basketball”",51,2,2022-12-06 21:46:07+00:00
48,BillyM2k,"someone should make a parody song of “it wasn’t me” by shaggy with SBF related lyrics 

“but they caught me commingling funds”
“it wasn’t me” 

“i even broke my terms of service”
“it wasn’t me” https://t.co/2ra4EPsuK6",493,48,2022-12-06 21:32:17+00:00
49,BillyM2k,"@coffeebreak_YT gosh coffeezilla stop grandstanding 

let SBF, the most moral and best human being who ever existed, keep jerking himself off on stage about how incompetent he is",768,11,2022-12-06 21:01:44+00:00
50,BillyM2k,why does spending $6.99 on the app store feel so damn expensive,1958,91,2022-12-06 18:13:27+00:00
51,BillyM2k,moo https://t.co/HsNM2yvh6U,1782,147,2022-12-06 16:21:53+00:00
52,BillyM2k,"@ZubyMusic pros: if there are competing offers, cash offers are more attractive since they’re less likely to fall through 

cons: you have to have the cash",925,17,2022-12-06 00:56:02+00:00
53,BillyM2k,@inevitable360 one positive thing 👇,608,18,2022-12-06 00:50:54+00:00
54,BillyM2k,@ParikPatelCFA can i do that via chatGPT,123,1,2022-12-06 00:30:41+00:00
55,BillyM2k,"@waitbutwhy @wibmerfabio [  ] i like this 
[x] i don’t like this",483,4,2022-12-05 23:54:47+00:00
56,BillyM2k,@RepMaxineWaters @SBF_FTX can y’all subpoena him?,483,5,2022-12-05 23:49:27+00:00
57,BillyM2k,@Jason my laid off friends who got a nice package are taking the opportunity to do some traveling,140,5,2022-12-05 23:46:09+00:00
58,BillyM2k,@ZubyMusic 🔥🔥,51,2,2022-12-05 23:44:25+00:00
59,BillyM2k,@farokh the tourists will be back when there’s less blood on the streets,118,6,2022-12-05 23:36:50+00:00
60,BillyM2k,2023 gonna be lit https://t.co/Qa0g8zrclp,12092,830,2022-12-05 23:32:17+00:00
61,BillyM2k,@ZubyMusic what would be your advice to someone earnestly wanting to grow as a person?,259,4,2022-12-05 23:30:34+00:00
62,BillyM2k,@JohnnaCrider1 the pointless insult ratio seems pretty decent for a thread getting this many impressions 👍,144,2,2022-12-05 23:26:35+00:00
63,BillyM2k,"@seanonolennon it’s frustrating, like watching an addict spiral into alcoholism",89,1,2022-12-05 23:21:38+00:00
64,BillyM2k,@CatherinScience @slashdot the wire is my favorite show of all time,14,0,2022-12-05 22:33:30+00:00
65,BillyM2k,@slashdot been watching white lotus and the peripheral and enjoying both,90,1,2022-12-05 22:30:23+00:00
66,BillyM2k,"@waitbutwhy there’s a lot of human intervention on deciding what is a “good” answer from AI vs a “bad” answer, when training the model 

so in general the views of the trainers will be more represented",148,3,2022-12-05 22:05:10+00:00
67,BillyM2k,it’s funny how i’ve been viewing chatGPT as a cool toy to create twitter content and not really reflecting on how incredibly ridiculously cool and potentially powerful the technology is,2532,123,2022-12-05 21:08:28+00:00
68,BillyM2k,@profoundlyeric 🤣 this is pain,52,0,2022-12-05 20:55:48+00:00
69,BillyM2k,@AboudaoudE https://t.co/zK8ujZGk4I,70,0,2022-12-05 19:50:49+00:00
70,BillyM2k,protip: don’t ask someone if you can ask them a question,2205,165,2022-12-05 19:48:36+00:00
71,BillyM2k,"@JasonAllan333 i use “welp, see ya later!” constantly 🤣",26,2,2022-12-05 19:47:27+00:00
72,BillyM2k,@pro05784633 my stupid brain,2,0,2022-12-05 19:43:32+00:00
73,BillyM2k,"@KTTheorist usually it exists as an attempt to find common interests or something more interesting to talk about 

it’s kinda hard to launch into your views on plato before establishing some rapport",94,5,2022-12-05 19:42:10+00:00
74,BillyM2k,note that conversations with an attractive person are rarely portrayed as small talk no matter how banal they are 🤣,467,27,2022-12-05 19:38:09+00:00
75,BillyM2k,@GailAlfarATX only one of us and many people to try to care about 🤣,25,2,2022-12-05 19:36:41+00:00
76,BillyM2k,@dogeofficialceo it is,35,0,2022-12-05 19:33:41+00:00
77,BillyM2k,@MW207a fair,3,0,2022-12-05 19:33:13+00:00
78,BillyM2k,"protip: if small talk is boring for you, you can try actually caring about the other person",2394,198,2022-12-05 19:32:37+00:00
79,BillyM2k,electric pokémon kitty https://t.co/25rGnvC871,1941,158,2022-12-05 18:10:20+00:00
80,BillyM2k,https://t.co/wtBQ6ajiFI,2311,166,2022-12-05 07:26:12+00:00
81,BillyM2k,"welcome back doge accounts 

ty @elonmusk",5500,354,2022-12-05 05:29:01+00:00
82,BillyM2k,@theboimerch7 accounts getting suspended,139,5,2022-12-05 04:41:54+00:00
83,BillyM2k,@shacknews doing the swap trick,64,1,2022-12-05 04:30:58+00:00
84,BillyM2k,@elonmusk ty!,733,19,2022-12-05 03:15:52+00:00
85,BillyM2k,"a whole bunch of accounts of people who, as far as i know, generally don't do anything but tweet memes and positivity are being suspended.

pretty weird man. https://t.co/rN32BTDsoO",10691,832,2022-12-05 02:24:23+00:00
86,BillyM2k,@MrBeast the world ended and was replaced by a simulation and none of us are real,3389,85,2022-12-05 01:55:17+00:00
87,BillyM2k,@tjstebbing @Twitter the hell?,186,6,2022-12-05 01:54:19+00:00
88,BillyM2k,@calic415 humans are all biased due to how brains work,59,3,2022-12-05 01:00:50+00:00
89,BillyM2k,"@JohnnaCrider1 why hello there money 

er i mean friend",27,0,2022-12-05 00:04:46+00:00
90,BillyM2k,@mcuban people are being taught that narratives are truth and thus have all gone insane,2183,53,2022-12-05 00:03:07+00:00
91,BillyM2k,"@SahilBloom whenever i am in a zoom meeting i am actually shitposting on twitter, unless i am running the meeting",153,7,2022-12-04 23:56:32+00:00
92,BillyM2k,"would you like a ps5!? here’s all you gotta do:

1) like this tweet 
2) retweet this tweet 
3) follow me 
4) purchase a ps5",5908,590,2022-12-04 23:09:55+00:00
93,BillyM2k,https://t.co/SwTleZuJVb,1278,85,2022-12-04 22:17:28+00:00
94,BillyM2k,imagine the media coverage if SBF was a moderate or even (gasp in horror) right-wing,2087,126,2022-12-04 20:39:14+00:00
95,BillyM2k,"@Jason @theallinpod i mean, it’s much better than the pods ahead of it on the list, so i don’t see why not",186,6,2022-12-04 19:38:04+00:00
96,BillyM2k,"@heyvickijakes if i was king of the world, people who made crypto scam bots would be thrown on an island",48,2,2022-12-04 19:36:31+00:00
97,BillyM2k,"dang it this was a banger in my head, gotta workshop it",160,6,2022-12-04 19:32:48+00:00
98,BillyM2k,strawman sure has bad takes,440,23,2022-12-04 19:27:44+00:00
